message,count,symbols,fixed attribute values
"(12, 32, 10, 0)",1,"{(32, 10, 12)}","{(13, 8, 0)}"
"(12, 40, 5, 0)",1,"{(40, 12, 5)}","{(13, '?', 0)}"
"(12, 43, 10, 0)",2,"{(10, 43, 12)}","{(13, 6, '?')}"
"(12, 47, 10, 0)",1,"{(10, 12, 47)}","{(13, 4, 6)}"
"(12, 47, 12, 0)",1,"{(12, 47)}","{(13, 4, 0)}"
"(12, 47, 19, 0)",3,"{(19, 12, 47)}","{(13, '?', '?')}"
"(12, 47, 40, 0)",3,"{(40, 12, 47)}","{(13, 4, '?')}"
"(13, 2, 2, 0)",4,"{(2, 13)}","{('?', '?', '?')}"
"(13, 2, 5, 0)",5,"{(2, 5, 13)}","{('?', '?', '?')}"
"(13, 3, 3, 0)",24,"{(3, 13)}","{('?', '?', '?')}"
"(13, 3, 5, 0)",13,"{(5, 3, 13)}","{('?', '?', '?')}"
"(13, 3, 44, 0)",16,"{(3, 44, 13)}","{('?', '?', '?')}"
"(13, 3, 45, 0)",1,"{(45, 3, 13)}","{(9, 13, 4)}"
"(13, 5, 2, 0)",1,"{(5, 2, 13)}","{(7, '?', '?')}"
"(13, 5, 5, 0)",3,"{(5, 13)}","{('?', '?', '?')}"
"(13, 6, 6, 0)",1,"{(13, 6)}","{(9, 10, 6)}"
"(13, 6, 32, 0)",6,"{(32, 13, 6)}","{('?', '?', '?')}"
"(13, 13, 2, 0)",4,"{(2, 13)}","{('?', '?', '?')}"
"(13, 13, 5, 0)",5,"{(5, 13)}","{('?', '?', '?')}"
"(13, 13, 6, 0)",6,"{(13, 6)}","{('?', '?', '?')}"
"(13, 13, 13, 0)",18,"{(13,)}","{('?', '?', '?')}"
"(13, 13, 16, 0)",8,"{(16, 13)}","{('?', '?', '?')}"
